,Irradiation_W,Price,CONSUMPTION
2165,0.0,59.0,2590.3605233227445
2166,8.94,65.0,2252.4874115849952
2167,39.75,69.4,2765.553988668244
2168,108.34,68.0,4492.461004216741
2169,329.1,55.5,4304.753719917992
2170,302.74,50.2,3253.592927844993
2171,575.71,50.2,2940.747454013744
2172,510.09,46.3,2753.040169714994
2173,835.97,42.0,3366.217298424243
2174,757.63,50.2,5756.356718494988
2175,585.31,51.0,3178.5100141254934
2176,364.58,60.0,3603.9798585359927
2177,145.17,69.15,4217.156987245241
2178,0.0,73.0,3028.344186686493
2179,0.0,67.5,3804.200961787992
2180,0.0,53.0,3654.035134348992
2181,0.0,54.0,6632.324045222486
2182,0.0,56.0,4517.48864212324
2183,0.0,54.7,4942.95848653374
2184,0.0,58.0,3328.675841564493
2185,0.0,54.8,2865.664540294244
2186,0.0,47.0,2527.7914285564943
2187,0.0,47.0,2052.266308332996
2188,0.0,52.0,2277.515049491496
2189,0.0,58.5,1964.6695756602455
2190,58.37,58.4,2064.7801272862457
2191,261.04,63.8,2477.7361527434946
2192,482.1,65.0,3103.4271004059933
2193,679.06,56.0,3754.145685974992
2194,779.45,55.1,2915.719816107244
2195,878.08,55.1,2828.1230834344938
2196,911.21,45.0,2139.8630410057453
2197,874.97,45.0,2502.763790649995
2198,760.74,45.8,4955.472305486989
2199,584.83,48.0,3954.366789226992
2200,371.57,60.0,3441.300212143743
2201,148.79,70.0,8847.269999947732
2202,0.0,70.5,5793.898175354738
2203,0.0,70.77,3366.217298424243
2204,0.0,57.4,4955.472305486989
2205,0.0,57.32,6344.506209297737
2206,0.0,62.0,4129.560254572491
2207,0.0,55.6,4117.0464356192415
2208,0.0,55.0,3441.300212143743
2209,0.0,53.0,2965.7750919202435
2210,0.0,49.3,3203.5376520319933
2211,0.0,45.1,2490.2499716967445
2212,0.0,48.0,3015.830367733244
2213,0.0,56.0,2340.0841442577453
2214,59.37,48.0,2515.2776096032444
2215,250.58,60.6,2327.570325304495
2216,368.02,66.05,2803.095445527994
2217,645.12,66.0,2440.1946958837448
2218,778.8,66.2,2677.957255995494
2219,860.07,65.0,2940.747454013744
2220,915.4,56.0,3654.035134348992
2221,738.27,50.6,5130.665770832489
2222,572.62,48.5,7433.208458230484
2223,460.52,51.0,4655.14065060899
2224,177.64,59.0,2803.095445527994
2225,113.95,74.0,3303.648203657993
2226,0.0,76.5,3791.687142834742
2227,0.0,70.0,7495.777552996734
2228,0.0,57.4,7971.302673220233
2229,0.0,55.5,6719.920777895236
2230,0.0,67.4,4504.974823169991
2231,0.0,56.82,3916.825332367242
2232,0.0,61.0,3391.244936330743
2233,0.0,58.87,4142.074073525741
2234,0.0,56.3,2202.4321357719955
2235,0.0,52.0,2315.0565063512454
2236,0.0,52.0,2465.2223337902446
2237,0.0,55.6,2227.459773678496
2238,34.66,49.0,2365.1117821642447
2239,165.94,57.0,2377.625601117495
2240,84.48,60.0,2878.178359247494
2241,103.36,52.9,3165.9961951722435
2242,484.47,48.8,3003.316548779994
2243,533.55,41.0,4667.65446956224
2244,939.36,26.9,5693.787623728738
2245,866.37,18.7,4179.615530385491
2246,762.07,13.9,4830.33411595449
2247,586.47,29.7,5618.704710009238
2248,372.43,57.0,5030.555219206489
2249,159.21,67.2,4467.433366310241
2250,0.0,71.0,3003.316548779994
2251,0.0,65.0,3941.852970273742
2252,0.0,53.7,6407.075304063987
2253,0.0,39.1,8171.523776472233
2254,0.0,25.1,4680.1682885154905
2255,0.0,15.0,5668.7599858222375
2256,0.0,11.6,3729.118048068492
2257,0.0,8.6,2740.526350761744
2258,0.0,6.6,2490.2499716967445
2259,0.0,5.0,2640.415799135744
2260,0.0,7.2,2477.7361527434946
2261,0.0,12.0,2415.167057977245
2262,72.21,13.2,2365.1117821642447
2263,280.34,14.6,2527.7914285564943
2264,504.72,30.0,3591.4660395827423
2265,692.97,19.9,3879.283875507492
2266,835.41,32.0,3641.5213153957434
2267,915.59,32.0,3003.316548779994
2268,926.6,12.3,2715.498712855244
2269,889.05,6.0,4092.018797712741
2270,707.54,5.0,6494.672036736736
2271,302.54,30.0,3378.731117377493
2272,140.46,56.4,3991.908246086742
2273,124.87,68.0,5856.467270120987
2274,0.0,78.0,4542.51628002974
2275,0.0,71.95,5668.7599858222375
2276,0.0,64.0,5393.455968850739
2277,0.0,43.7,4567.54391793624
2278,0.0,50.0,3629.007496442493
2279,0.0,40.0,3416.2725742372427
2280,0.0,43.95,2890.692178200744
2281,0.0,42.0,2803.095445527994
2282,0.0,44.0,2552.8190664629947
2283,0.0,41.3,2290.028868444745
2284,0.0,48.2,2502.763790649995
2285,0.0,66.15,2577.8467043694945
2286,34.71,70.7,2290.028868444745
2287,116.62,71.7,2327.570325304495
2288,335.07,68.0,2565.3328854162446
2289,653.53,57.0,3353.703479470993
2290,825.05,54.2,4179.615530385491
2291,913.77,54.0,5293.345417224738
2292,945.51,45.0,4955.472305486989
2293,896.99,42.6,6081.716011279487
2294,771.99,44.0,5268.317779318239
2295,598.89,59.5,5593.677072102738
2296,386.28,64.0,4680.1682885154905
2297,167.27,75.0,4129.560254572491
2298,0.0,74.0,6344.506209297737
2299,0.0,70.0,5731.329080588488
2300,0.0,60.0,8196.551414378733
2301,0.0,51.0,8622.021258789231
2302,0.0,55.6,6594.782588362736
2303,0.0,49.8,4267.212263058241
2304,0.0,51.2,4755.25120223499
2305,0.0,50.1,3729.118048068492
2306,0.0,48.1,2903.205997153994
2307,0.0,50.5,2502.763790649995
2308,0.0,58.7,2290.028868444745
2309,0.0,63.0,2740.526350761744
2310,79.5,70.5,2415.167057977245
2311,289.38,70.0,2352.597963210995
2312,512.09,68.4,2740.526350761744
2313,653.18,62.2,6732.434596848486
2314,852.39,58.0,4167.101711432241
2315,932.67,58.7,3791.687142834742
2316,938.79,53.0,5493.566520476738
2317,894.13,52.0,4092.018797712741
2318,778.74,52.5,6569.754950456237
2319,604.54,55.1,4567.54391793624
2320,393.09,73.0,4154.587892478991
2321,171.81,84.6,4642.62683165574
2322,0.0,88.0,4767.76502118824
2323,0.0,81.6,3766.659504928242
2324,0.0,68.6,5518.594158383238
2325,0.0,65.0,5656.246166868988
2326,0.0,68.0,4254.698444104991
2327,0.0,59.0,3779.173323881492
2328,0.0,58.3,3316.162022611243
2329,0.0,56.0,2940.747454013744
2330,0.0,52.5,3503.8693069099927
2331,0.0,52.8,2840.636902387744
2332,0.0,61.0,2515.2776096032444
2333,0.0,70.0,2515.2776096032444
2334,84.99,82.0,2252.4874115849952
2335,292.74,77.5,2302.542687397995
2336,516.42,68.8,2640.415799135744
2337,709.47,56.4,3578.9522206294923
